URL,Text
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/physical-access-policy/,Physical Access
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/provisioning-and-deprovisioning-policy/,Provisioning and Deprovisioning
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/risk-assessment-policy/,Risk Assessment
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/role-based-email-accounts-policy/,Role-Based Email Accounts
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/secure-data-handling-policy/,Secure Data Handling
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/server-certificate-security-policy/,Server Certificate Security
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/secure-software-development-life-cycle-policy/,Secure Software Development Life Cycle
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/systems-hardening-policy/,Systems Hardening
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/system-and-communications-protection-policy/,System and Communications Protection
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/temporary-student-ts-accounts/,Temporary Student (TS) Accounts
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/third-party-data-transfer-policy/,Third-Party Data Transfer
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/third-party-integration-policy/,Third-Party Integration
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/third-party-sensitive-data-handling-inventory/#d.en.126303,Third-Party Sensitive Data Handling Inventory
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/vulnerability-management-policy/,Vulnerability Management
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/wireless-use-policy/,Wireless Use
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/web-application-security-policy/,Web Application Security
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/-account-separation-and-account-retention-procedure/,Account Separation and Account Retention 
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/authorized-access-to-electronic-information-procedure/,Authorized Access to Electronic Information
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/backup-requests-procedure/#d.en.149335,Backup Requests
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/corporate-accounts-procedure/,Corporate Accounts
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/procedure-on-developing-it-policies/#d.en.90995,Developing IT Security Policies
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/procedure-on-developing-it-procedures/#d.en.91014,Developing IT Security Procedures
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/internet-of-things-procedure-for-public-networks/,Internet of Things for Public Networks
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/internet-of-things-procedure-for-facultystaff/,Internet of Things for Faculty/Staff
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/microsoft-onedrive-for-business-backup-procedure/,Microsoft OneDrive™ for Business Backup
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/secure-software-development-life-cycle-procedure/,Secure Software Development Life Cycle
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/third-party-data-transfer-procedure/,Third-Party Data Transfer
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/third-party-integration-procedure/,Third-Party Integration
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/vulnerability-management-procedure/,Vulnerability Management
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/web-application-security-deployment-procedure/,Web Application Security Deployment
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/anti-malware-guidelines/,Anti-Malware
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/clean-desk-and-clear-screen-guidelines/,Clean Desk and Clear Screen
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/data-classification-guidelines/,Data Classification
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/email-forwarding-guidelines/,Email Forwarding
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/non-persistent-administrative-access-guidelines/#d.en.146741,Non-Persistent Administrative Access
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/personal-firewall-guidelines/,Personal Firewall
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/etiquette-and-considerations-for-using-ai-notetakerrecording-tools-in-zoom-and-microsoft-teams-advisory/#d.en.147629,Etiquette and Considerations for Using AI Notetaker/Recording Tools in Zoom and Microsoft Teams Advisory
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/local-drive-backup-advisory/#d.en.90997,Local Drive Backup Advisory
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/risk-assessment-policy/,Risk Assessment Policy
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/backup-policy/,Backup Policy
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/change-control-policy/,Change Control Policy
