Policy Name,Text
Data in Transit,"Version 1.4
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to define how University data is electronically transmitted.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
The requirements for transmitting Fordham Protected, Fordham Sensitive, or Public Data via email or other electronic methods are listed in the table below.
The type of data dictates the method of transmission as per the Data Classification Guidelines.
Rules for transmitting Fordham Protected, Fordham Sensitive, or Public Data1
  Fordham Protected Data Fordham Sensitive Data Public Data
Email
Not permitted without express authorization or unless required by law. 
 
If authorized, data shall only be included in messages within an encrypted file attachment or via secure authorized services. 
Hyper Text Transfer Protocol Secure (HTTPS) 
Transport Layer Security (TLS)2 
Encrypted email 
Encrypted file 
Messages shall only be sent to authorized individuals with a legitimate need to know. 
 
Messages can be sent via a secure protocol and/or process. 
Hyper Text Transfer Protocol Secure (HTTPS) 
Transport Layer Security (TLS) 
Encrypted email 
Encrypted file 
No protection requirements
Electronic Transmission or Forwarding (e.g., LAN, Bluetooth, Wi-Fi)
Secure, authenticated connections or secure protocols must be used for transmission of protected data via: 
Hyper Text Transfer Protocol Secure (HTTPS) 
Secure File Transfer Protocol (SFTP) server 
Transport Layer Security (TLS) 
Data must be transmitted in either an encrypted file format or over a secure protocol or connection via: 
Hyper Text Transfer Protocol Secure (HTTPS) 
Secure File Transfer Protocol (SFTP) server 
Transport Layer Security (TLS) 
No protection requirements.
1 The information included in this table is not comprehensive. Refer to other IT policies for details related to the topics mentioned.
2 SpecialPublications/NIST.SP.800-52r2, RTC-8996, Deprecating TLS 1.0 and TLS 1.1
Definitions
Authentication is used when the server needs to identify who is accessing the information or site. Authentication does not determine what tasks the individual can do or what files the individual can view.
Authorization is a process by which a server determines if the individual has permission to use a resource or access a file. Authorization is usually coupled with authentication so the server can identify the individual requesting access.
Encryption involves the process of transforming data so that it is unreadable by anyone who does not have a decryption key. Encryption in transit means ensuring that all data sent over a network is encrypted.
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Related Policies and Procedures
Acceptable Uses of IT Infrastructure and Resources
Data Classification Guidelines
Data Classification and Protection Policy
Data at Rest Policy
Third-Party Data Transfer Policy
Implementation Information
Review Frequency Biennial
Responsible Person Senior Director of IT Security and Assurance 
Approved By CISO
Approval Date May 22, 2018
Revision History
Version Date Description
1.0 04/06/2018 Initial policy
1.0.1 05/22/2018 Updated disclaimer statement
1.1 06/09/2020 Updated table
1.2 07/02/2022 Updated table
1.3 12/22/2022 Added TLS sources reference footnote
1.4 03/05/2024 Updated table, updated disclaimer
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) will only be considered cooperatively between ISA and the requesting entity with sufficient notice to allow for conducting appropriate risk analysis, documentation, review, and notification to authorized University representatives where necessary. Failure to adhere to ISA written policies may be met with University sanctions up to and including dismissal."
Disk Encryption,"Version 2.2
For Students, Faculty, Staff, Guests, Alumni
Purpose
This policy establishes requirements for using disk encryption technologies on the University’s IT Resources to protect the confidentiality of information.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the Fordham IT staff (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
IT Resources, such as laptops, desktops, and servers, are required to employ Full Disk Encryption. In addition, all databases and backups must be encrypted. 
You are required to employ encryption for all Fordham Sensitive and Fordham Protected data regardless of the medium (e.g., USB storage device, external hard drive, cloud storage). 
Users may obtain encryption software from Information Security and Assurance (ISA) or use other ISA-approved encryption software. 
Users must not attempt to disable, remove, or otherwise tamper with the encryption software. 
When traveling, some countries have encryption import and use restrictions. Check with the U.S. Department of State before traveling with encrypted IT Resources internationally to ensure that you have the most up-to-date information, or consult with the ISA if you have questions. 
Many nations do not recognize a personal use exemption1.
Before traveling to these countries with an encrypted laptop, you may need to apply to their specified governmental agency for an import license.
Additional information about international encryption controls and personal use exemption can be found at the following websites:
The Wassenaar Arrangement
Bureau of Industry and Security, U.S. Department of Commerce - Export Administration Regulations.
1Several countries negotiated rules to facilitate traveling with encryption software known as the Wassenaar Arrangement. One provision allows a traveler to freely enter a participating country with an encrypted device under a personal use exemption as long as the traveler does not create, enhance, share, sell or otherwise distribute the encryption technology while visiting.
Definitions
Encryption involves the process of transforming data so that it is unreadable by anyone who does not have a decryption key.
Full Disk Encryption (FDE), also known as whole disk encryption, is the process of encrypting all the data on the hard drive(s) on a computer, including the computer’s OS, and permitting access to the data only after successful authentication to the FDE product.
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services.
Related Policies and Procedures
Backup Policy
Data Classification and Protection Policy
Data Classification Guidelines
Technology Recommendations for Traveling
Implementation Information
Review Frequency Biennial
Responsible Person Senior Director of IT Security and Assurance 
Approved By CISO
Approval Date August 30, 2018
Revision History
Version Date Description
1.0 08/30/2018 Initial document
2.0 01/16/2020 Updated policy statement
2.1 02/11/2021 Updated policy statement
2.2 02/21/2023 Updated policy statement
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions. "
Dual-Homed Network,"Version 1.3
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to minimize potential exposure to the University from unauthorized access to the University’s IT Resources with multiple network interfaces.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
The use of multiple network interfaces into a single computer to facilitate “dual-homed” or “multi-homed” connectivity is prohibited.
Definitions
Dual Homing is defined as having concurrent connectivity to more than one network from a computer or network device.
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services.
Implementation Information
Review Frequency: Triennial
Responsible Person: Senior Director, IT Security Operations and Assurance 
Approved By: CISO
Approval Date: May 16, 2017
Revision History
Version: Date: Description:
1.0 05/16/2017 Initial policy
1.1 5/23/2018 Updated disclaimer, scope, and definitions
1.2 06/06/2020 Updated purpose statement
1.3 07/25/2023 Updated policy statement
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions."
Email Retention,"Version 2.0
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to inform Users of the retention period for Fordham University’s Gmail™ messages. 
Scope
This policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrators, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked. 
Policy Statement
Archiving1 is enabled on Gmail. Emails created beyond the archival period will be automatically deleted. Therefore, Users must not rely on the archives for any purpose, including, but not limited to, the User’s need or desire to retain, access, or preserve email, related contents, or attachments.
Users are responsible for identifying and saving documents that must be retained to comply with federal, state, or local laws, University Policies, or other legal obligations or requirements per the Records Retention and Disposal Policy.
When the University is legally obligated to preserve emails, the University will suspend the automatic deletion of messages by the archive system until the legal obligation no longer applies.
Users may save copies of emails and attachments before the retention period expires by transferring them to other secure electronic media per Data Classification Guidelines.
Email usage must comply with the Acceptable Uses of IT Infrastructure and Resources Policy.
1 Email sent or received via Fordham’s Gmail servers is retained for a period of eight years. Any messages that are over eight years old will be automatically deleted.
Related Policies and Procedures
Acceptable Uses of IT Infrastructure and Resources Policy 
Data Classification Guidelines 
Records Retention and Disposal Policy 
Implementation Information
Review Frequency Triennial
Responsible Person Office of Legal Counsel
Approved By Office of Legal Counsel
Approval Date January 15, 2016
Revision History
Version Date Description
1.2 01/15/2016 Supersedes 09/01/2014
2.0 10/03/2023 Updated scope, policy statement, links, and policy disclaimer
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) will only be considered cooperatively between ISA and the requesting entity with sufficient notice to allow for conducting appropriate risk analysis, documentation, review, and notification to authorized University representatives where necessary. Failure to adhere to ISA written policies may be met with University sanctions up to and including dismissal."
Extensions and Application Auxiliary Services,"Version 1.0
For Students, Faculty, Staff, Guests, Alumni
Purpose
This policy is to preserve Fordham University's brand identity, integrity, and reputation when using extensions, add-ons, and other auxiliary services1 provided through University contracted or supported applications.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
Users should be aware that while using add-on features, they are not covered by the pre-negotiated relationship between the University and the contracted software company; therefore, they enter into a private agreement between themselves and the software company providing the add-on features.
The User must refer to the terms and conditions agreement of that particular application for acceptable uses.
The University reserves the right to restrict/remove/disable application access to prevent Users from infecting, degrading, or otherwise negatively impacting IT resources.
The University disclaims any liability for the loss of data or damage of IT Resources while employing the extension or application.
The University disclaims any liability for using these auxiliary services, regardless of the type of action brought against the User.
Members of the Fordham Community are prohibited from sharing, posting, storing, or disclosing any Fordham Protected or Fordham Sensitive data by the terms of the Data Classification Policy.
Users must abide by the terms of the Acceptable Uses of IT Infrastructure and Resources Policy and all University policies related to third-party usage.
1 Commonly applied through the Apple App Store, Google Play, Microsoft App Store, App Marketplace that may be used in conjunction with Chrome, Safari, Zoom, G Suite, or Microsoft 365 or similar.
Definitions
An add-on is a software extension that adds extra features to a program. It may extend certain functions within the application, add new items to the program's interface, or give the program additional capabilities.
Extensions are software programs that customize the browsing experience. Depending on the browser, the term may differ from similar terms such as plug-in or add-on.
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services.
Related Policies and Procedures
Acceptable Uses of IT Infrastructure and Resources
Data Classification Guidelines
Data Classification Policy
Implementation Information
Review Frequency: Triennial
Responsible Person: Senior Director of IT Security and Assurance
Approved By: CISO
Approval Date: June 11, 2020
Revision History
Version: Date: Description:
1.0 06/11/2020 Initial document
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions."
Firewall/Access Control List,"Version 1.4
For Students, Faculty, Staff, Guests, Alumni
Purpose
This policy ensures that the University's IT Resources are properly protected behind firewalls or other network devices that utilize access control lists (ACLs).
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrators, staff, alumni, authorized guests, delegates, and independent contractors (the ""User(s)"" or ""you"") who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
Users who can grant access to restricted network devices, including but not limited to routers, switches, and firewalls, must abide by the rules in this policy.
Users must verify that firewalls, switches, and router configuration standards are reviewed and examined semi-annually.
All IT Resources that allow access to data, systems, and networks must contain a default ""deny all"" inbound access rule.
All IT Resources on high-risk networks, such as the PCI Security Standards Council (PCI SSC) and DMZ (demilitarized zone) networks, must also contain a ""deny all"" rule on outbound traffic.
IT Resources on the PCI networks must be secured from public access.
Users must request firewall or ACL changes via the University’s ticketing system from the IT Internal Service Catalog.
Information Security and Assurance (ISA) must approve change requests.
ISA must explicitly authorize outbound traffic from PCI networks to the Internet.
Definitions
DMZ is a physical or logical subnetwork that contains and exposes an organization's external-facing services to an untrusted network, usually a larger network such as the Internet.
IT Resources include computing, networking, communications, application, telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Related Policies and Procedures
Account Access Change Control Policy
Password Management Policy
PCI Hardware Maintenance
PCI Network Protocol
PCI Security Testing
Implementation Information
Review Frequency: Annual
Responsible Person: Senior Director of IT Security and Assurance 
Approved By: CISO
Approval Date: March 1, 2017
Revision History
Version:
Date:
Description:
1.0
01/26/2017
Initial policy
1.0.1
03/01/2017
Grammatical changes to definitions. No changes to the policy
1.0.2
05/23/2018
Updated disclaimer, scope, and definitions
1.0.3
01/04/2019
Updated links
1.1
06/09/2020 
Updated policy statement and definitions
1.2 07/26/2021 Updated purpose and policy statements
1.3 08/01/2022 Updated policy statement
1.4 09/21/20123 Updated purpose, policy statement, scope, and disclaimer statement
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) will only be considered cooperatively between ISA and the requesting entity with sufficient notice to allow for conducting appropriate risk analysis, documentation, review, and notification to authorized University representatives where necessary. Failure to adhere to ISA written policies may be met with University sanctions up to and including dismissal."
Generic Accounts,"Version 1.1
For Students, Faculty, Staff, Guests, Alumni
Purpose
This policy establishes the acceptable use of Generic Accounts.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrators, staff, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
Generic Account use is prohibited on all non-Public Computers and wherever Information Security and Assurance compensating controls cannot be implemented.
Generic Account requests may be granted based on justification and appropriate need. Information Security and Assurance must approve exceptions to this policy in advance through the IT Service Desk ticketing system.
Generic Accounts need to ensure compliance with University policies (i.e., auditing of rights/permissions to appropriate users).
Information Security and Assurance will audit the usage of Generic Accounts on an annual basis and will work with the owners of found Generic Accounts to limit their use with minimal impact on the business of that department.
Definitions
Generic Accounts are considered accounts not derived using the faculty, staff, or student naming convention. There is no corresponding ID associated with a Generic Account. These accounts do not identify the person or entity using the account.
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services.
Public Computers are IT Resources used in communal locations such as labs, classrooms, and kiosks.
Related Policies and Procedures
Provisioning and Deprovisioning Policy
Implementation Information
Review Frequency Triennial
Responsible Person Senior Director of IT Security and Assurance 
Approved By CISO
Approval Date March 6, 2017
Revision History
Version Date Description
1.0 07/28/2016 Initial document
1.0.1 03/06/2017 Definitions edit; no change to policy.
1.0.2 05/23/2018 Updated disclaimer, scope, and definitions
1.1 07/15/2020 Updated policy and purpose statements
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) will only be considered cooperatively between ISA and the requesting entity with sufficient notice to allow for conducting appropriate risk analysis, documentation, review, and notification to authorized University representatives where necessary. Failure to adhere to ISA written policies may be met with University sanctions up to and including dismissal."
Hosting and Sharing Content,"Version 2.1
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to define the permission regarding the hosting and sharing of content on the University’s IT Resources by Users or authorized third parties representing themselves as part of the University community.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
Hosting sites that represent the University and registered student organizations (e.g., professional associations, consortiums, or journals) are permitted to share content on behalf of the University with authorization.
Users may share content on non-University servers. However, an authorized contractual relationship for hosting the entity’s site must be demonstrated.
When sharing content, all are required to respect the rights of others.
All are prohibited from using IT Resources to post or transmit any content that is deemed contrary to the mission of the University.
Users must abide by the data protection requirements outlined in Data Classification and Protection Policy and Data Classification Guidelines.
Definitions
Hosting is providing network access to a site, or network-accessible location, which includes the distribution of content.
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services.
Related Policies and Procedures
Acceptable Uses of IT Infrastructure and Resources
Data Classification Guidelines
Data Classification and Protection Policy
Social Media Policy
Implementation Information
Review Frequency: Triennial
Responsible Person: Senior Director, IT Security Operations and Assurance 
Approved By: Office of Legal Counsel
Approval Date: May 13, 2019
Revision History
Version: Date: Description:
1.0   While this policy is “new,” this policy was formerly in the IT Policy: Acceptable Uses of IT Infrastructure and Resources. Prior revisions to this policy found in that document.
1.1 05/13/2019 Updated policy statement
2.0 05/22/2020 Renamed policy, updated purpose and policy statements
2.1 07/26/2023 Updated policy statement
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions. "
Information Security Breach Response,"Version 1.3
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to provide a method of reporting suspected theft, breach, or exposure of Fordham Protected Data or Fordham Sensitive Data (including unauthorized access, use, or disclosure) to the appropriate departments. 
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
Information Security and Assuranceconvenes the Cyber Security Incident Response Team (CSIRT) as necessary, per the Cyber Security Incident Response Plan (CSIRP), to investigate the suspected information security breach.
Information Security and Assurance notifies the Office of Legal Counsel or Public Safety of breach notifications as required by the University’s statutory, regulatory, legal, contractual, and policy obligations.
Definitions
Cyber Security Breach is any incident that results in unauthorized access to computer data, applications, networks, or devices. A data breach is a security violation (e.g., unintentional information disclosure, data leak, information leakage, data spill) in which sensitive, protected, or confidential data is copied, transmitted, viewed, stolen, or used by an unauthorized individual. 
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Related Policies and Procedures
Cyber Security Incident Response Plan (CSIRP)
Data Classification Guidelines
Data Classification Policy
Information Security Incident Response Policy
Implementation Information
Review Frequency: Triennial 
Responsible Person: Senior Director of IT Security Operations and Assurance 
Approved By: CISO
Approval Date: January 6, 2020
Revision History
Version: Date: Description:
1.0 01/06/2020 Initial document
1.1 01/27/2021 Updated purpose statement
1.2 11/18/2021 Updated definitions
1.3 05/11/2022 Updated links
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions. "
Information Security Incident Response,"Version 1.2
For Students, Faculty, Staff, Guests, Alumni
Purpose
This policy defines the responsibilities of all members of the University community when responding to or reporting information security incidents.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
Any individual who suspects that a theft, breach, or exposure of Fordham Protected data or Fordham Sensitive data has occurred must immediately describe what happened to the Information Security and Assurance via email sent to infosec@fordham.edu or call 888-382-3443 option 5.
The Cyber Security Incident Response Team (CSIRT) handles the incident response process per the Cyber Security Incident Response Plan (CSIRP).
All members of the CSIRT must participate in the Testing, Training, & Exercise (TT&E) program to sustain and refine the University’s ability to handle Incidents following the best practices outlined in NIST Special Publication 800-84.
Definitions
An incident is an occurrence that actually or potentially jeopardizes the confidentiality, integrity, or availability of an information system or the information the system processes, stores, or transmits or that constitutes a violation or imminent threat of violation of security policies, security procedures, or acceptable use policies.  
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Related Policies and Procedures
Cyber Security Incident Response Plan (CSIRP)
Information Security Breach Response
Implementation Information
Review Frequency: Annual
Responsible Person: Senior Director of IT Security and Assurance 
Approved By: CISO
Approval Date: January 6, 2020
Revision History
Version: Date: Description:
1.0 01/06/2020 Initial document
1.1 01/27/2021 Updated policy statement
1.2 05/11/2022 Updated links
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions. "
Internet of Things,"Version 1.4
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to ensure the confidentiality, integrity, and availability of the University’s IT Resources by regulating the use of Internet of Things (IoT) devices and connecting them to the appropriate University network. 
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrators, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
In support of University functions, the Faculty/Staff must make an official request to use an IoT device or collection of devices specified in the Internet of Things for Faculty/Staff Networks procedure. 
All other Users must request IoT device connections per the  Internet of Things for Public Networks procedures. 
The University has classified the IoT networks into the following groups: 
Administrative/Restricted (i.e., University-owned and managed devices, contracted services), 
Building management systems (e.g., specialized instruments, HVAC, elevators), 
Community devices owned and operated by faculty or staff (e.g., televisions, Apple TV®, Chromecast™), or
Student-owned devices on the public network. 
Faculty/Staff IoT device requests must be reviewed and connected to the appropriate network as deemed necessary by Information Security and Assurance and DevOps Infrastructure Services. 
IoT devices must only be connected to a segregated and controlled network segment. 
IoT networks must be monitored to identify abnormal traffic and emergent threats. 
IoT devices should have a process for updating software and hardware firmware as stated in the Vulnerability Management Policy, as applicable. 
Definitions
IT Resources include computing, networking, communications, application, telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
The Internet of Things are physical objects (e.g., vehicles, home appliances, and other items embedded with electronics, software, sensors, actuators) that communicate, sense, or interact with their internal states or the external environment via network connectivity.
Related Policies and Procedures
Internet of Things Procedure for Faculty/Staff
Internet of Things Procedure for Public Network
Vulnerability Management Policy
Implementation Information
Review Frequency Annual
Responsible Person Senior Director of IT Security and Assurance 
Approved By CISO
Approval Date 09/12/2018
Revision History
Version
Date
Description
1.0
09/12/2018
Initial document
1.1
01/05/2020
Updated policy statement
1.2 10/06/2020 Updated purpose and policy statement 
1.3 10/13/2021 Updated policy statement
1.4 11/20/2023 Updated policy statement, scope, and disclaimer
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) will only be considered cooperatively between ISA and the requesting entity with sufficient notice to allow for conducting appropriate risk analysis, documentation, review, and notification to authorized University representatives where necessary. Failure to adhere to ISA written policies may be met with University sanctions up to and including dismissal. "
IT Security's Policy on Policies,"Version 1.5
For Students, Faculty, Staff, Guests, Alumni
Purpose
This policy defines how IT security policies regarding information technology are developed at Fordham University.
Scope
This IT security policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrators, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
All policies must be developed following the Procedure on Developing IT Security Policies.
All policies must have a “responsible person” assigned to the policy. This person is in charge of authoring the policy and its review. This person must be at the director level or higher. 
All policies must have a review frequency of no less than one year and no greater than three years. 
All policies must obtain the proper approvals to be valid.  
The AVP/CISO is responsible for all policies related to information security and the University’s IT Resources. 
Policies may also require approval from the Office of Legal Counsel (OLC). 
All policies and related procedures must use the templates provided by the Senior Director of IT Security and Assurance or have been approved by the AVP/CISO and CIO approval, as applicable. 
Initial procedures issued with a policy must also follow the same approval process as its associated policy. 
Significant changes to policies, regardless of scope, must obtain AVP/CISO and CIO approval, as applicable. 
If required, changes to policies should receive the OLC’s approval. 
Minor changes to policies or procedures only require the approval of the Senior Director of IT Security and Assurance.
Related Policies and Procedures
Acceptable Use of IT Infrastructure and Resources Policy
Procedure for Developing IT Security Policies
Procedure for Developing IT Security Procedures
Implementation Information
Review Frequency: Triennial
Responsible Person: Senior Director of IT Security and Assurance 
Approved By: CISO
Approval Date: June 1, 2016
Revision History
Version Date Description
1.0 06/01/2016 Initial document
1.0.1 05/23/2017 Updated disclaimer and scope
1.1 08/14/2019 Updated policy statement
1.2 03/23/2020 Updated policy statement
1.3 03/04/2021 Updated purpose and statement
1.4 08/07/2023 Updated policy statement, scope
1.5 03/20/2024 Updated policy statement, updated policy disclaimer
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) will only be considered cooperatively between ISA and the requesting entity with sufficient notice to allow for conducting appropriate risk analysis, documentation, review, and notification to authorized University representatives where necessary. Failure to adhere to ISA written policies may be met with University sanctions up to and including dismissal."
IT Resources Relocation,"Version 1.2
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to restrict unauthorized IT Resources relocation.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, student workers, administrative officials, staff, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
You must not relocate IT Resources from their original and intended locations.
Contact the IT Service Desk if necessary to move an IT Resource from its original and intended location
If the resource is not Fordham’s Office of Information Technology owned and managed, inventory must be accurate, up-to-date, and made accessible.
This policy pertains to all applicable IT Resources and devices, including, but not limited to:
Projectors,
Desktop computers,
Telephones,
Printers, or
Video conferencing units.
Definitions
IT Resources include computing, networking, communications, application, telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services.
Related Policies and Procedures
Acceptable Use of IT Infrastructure and Resources Policy
Implementation Information
Review Frequency: Triennial
Responsible Person: Senior Director, IT Security Operations and Assurance 
Approved By: CISO
Approval Date: October 29, 2019
Revision History
Version: Date: Description:
1.0 10/29/2019 Initial document
1.1 11/05/2020 Updates to the policy statement
1.2 07/24/2023 Updates to the policy statement
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions."
